Waterbody OGF ID,Zone Number,Waterbody Description,Waterbody Description French,Species,Species French,Season,Season French,Size Limit Only,Size Limit Only French,Limit,Limit French,Bait Restriction,Bait Restriction French,Gear Restriction,Gear Restriction French,Impounding Device Restriction,Impounding Device Restriction French,Time of Day Restriction,Time of Day Restriction French,Special Licence Tag,Special Licence Tag French,General Catch and Possession Restriction,General Catch and Possession Restriction French,Effective Date,Expiry Date
125209461,15,"Pickerel River - from the first set of rapids downstream of the lake at (45°59’45”N., 80°21’W.) downstream to Georgian Bay and including those parts of the Pickerel River known as Cantin Lake, Trestle Gully Lake, Deep Bay, Muskrat Bay and David’s Bay.","Rivière Pickerel – depuis les premiers rapides en aval du lac (45° 59’ 45” N. et 80° 21’ O.) en aval jusqu’à la baie Georgienne et incluant les parties de la rivière Pickerel connues comme les lacs Cantin et Trestle Gully, et les baies Deep, Muskrat et Da",Muskellunge,Maskinongé,Refer to zone-wide seasons and limits,Reportez-vous à Saisons et limites de zone,Must be greater than 122 cm (48 in.),Doit dépasser 122 cm (48 po),Refer to zone-wide seasons and limits,Reportez-vous à Saisons et limites de zone,,,,,,,,,,,,,01/01/2022,12/31/2022
125208779,5,"Burditt Lake (48°57'13""N., 93°46'43""W.) - Senn Township","Lac Burditt (48° 57' 13""N., 93° 46' 43""O.) - canton de Senn",Muskellunge,Maskinongé,Refer to zone-wide seasons and limits,Reportez-vous à Saisons et limites de zone,Must be greater than 122 cm (48 in.),Doit dépasser 122 cm (48 po),Refer to zone-wide seasons and limits,Reportez-vous à Saisons et limites de zone,,,,,,,,,,,,,01/01/2022,12/31/2022
125208846,5,"Weld Lake (49°01'39""N., 93°40'17""W.)","Lac Weld (49° 01' 39""N., 93° 40' 17""O.)",Muskellunge,Maskinongé,Refer to zone-wide seasons and limits,Reportez-vous à Saisons et limites de zone,Must be greater than 122 cm (48 in.),Doit dépasser 122 cm (48 po),Refer to zone-wide seasons and limits,Reportez-vous à Saisons et limites de zone,,,,,,,,,,,,,01/01/2022,12/31/2022
125208783,5,"Despair Lake (48°52'31""N., 93°39'34""W.)","Lac Despair (48° 52' 31""N., 93° 39' 34""O.)",Muskellunge,Maskinongé,Refer to zone-wide seasons and limits,Reportez-vous à Saisons et limites de zone,Must be greater than 122 cm (48 in.),Doit dépasser 122 cm (48 po),Refer to zone-wide seasons and limits,Reportez-vous à Saisons et limites de zone,,,,,,,,,,,,,01/01/2022,12/31/2022
125208839,5,"Slender Lake (49°01'60""N., 93°41'56""W.)","Lac Slender (49° 01' 60""N., 93° 41' 56""O.)",Muskellunge,Maskinongé,Refer to zone-wide seasons and limits,Reportez-vous à Saisons et limites de zone,Must be greater than 122 cm (48 in.),Doit dépasser 122 cm (48 po),Refer to zone-wide seasons and limits,Reportez-vous à Saisons et limites de zone,,,,,,,,,,,,,01/01/2022,12/31/2022
125208788,5,"Esox Lake (49°06'02""N., 93°15'54""W.)","Lac Esox (49° 06' 02""N., 93° 15' 54""O.)",Muskellunge,Maskinongé,Refer to zone-wide seasons and limits,Reportez-vous à Saisons et limites de zone,Must be greater than 122 cm (48 in.),Doit dépasser 122 cm (48 po),Refer to zone-wide seasons and limits,Reportez-vous à Saisons et limites de zone,,,,,,,,,,,,,01/01/2022,12/31/2022
125208804,5,"Lower Manitou Lake (49°15'15""N., 92°59'19""W.)","Lac Lower Manitou (49° 15' 15""N., 92° 59' 19""O.)",Muskellunge,Maskinongé,Refer to zone-wide seasons and limits,Reportez-vous à Saisons et limites de zone,Must be greater than 122 cm (48 in.),Doit dépasser 122 cm (48 po),Refer to zone-wide seasons and limits,Reportez-vous à Saisons et limites de zone,,,,,,,,,,,,,01/01/2022,12/31/2022
125208837,5,"Seine River System - from Kettle Point of Rainy Lake upstream to Sturgeon Falls Dam (Crilly Dam), situated immediately north of Hwy. 11, including Little Grassy, Grassy, Shoal, Wild Potato and Partridge Crop lakes.","Réseau hydrographique de la rivière Seine - depuis la pointe Kettle du lac à la Pluie, en amont jusqu’au barrage Crilly, situé immédiatement au nord de la route 11, y compris le petit lac Grassy et les lacs Grassy, Shoal, Wild Potato et Partridge Crop.",Muskellunge,Maskinongé,Refer to zone-wide seasons and limits,Reportez-vous à Saisons et limites de zone,Must be greater than 122 cm (48 in.),Doit dépasser 122 cm (48 po),Refer to zone-wide seasons and limits,Reportez-vous à Saisons et limites de zone,,,,,,,,,,,,,01/01/2022,12/31/2022
125208834,5,"Schistose Lake (49°09'17""N., 93°36'18""W.)","Lac Schistose (49° 09' 17""N., 93° 36' 18""O.)",Muskellunge,Maskinongé,Refer to zone-wide seasons and limits,Reportez-vous à Saisons et limites de zone,Must be greater than 122 cm (48 in.),Doit dépasser 122 cm (48 po),Refer to zone-wide seasons and limits,Reportez-vous à Saisons et limites de zone,,,,,,,,,,,,,01/01/2022,12/31/2022
125208816,5,"Feather Lake (Quill Lake) - Pipestone Chain (49°00'23""N., 93°42'27""W.)","Lac Feather (Quill Lake) - Pipestone Chain (49° 00' 23""N., 93° 42' 27""O.)",Muskellunge,Maskinongé,Refer to zone-wide seasons and limits,Reportez-vous à Saisons et limites de zone,Must be greater than 122 cm (48 in.),Doit dépasser 122 cm (48 po),Refer to zone-wide seasons and limits,Reportez-vous à Saisons et limites de zone,,,,,,,,,,,,,01/01/2022,12/31/2022
125208814,5,"Pipestone Lake - Pipestone Chain (49°05'00""NN., 93°33'00""WW.)","Lac Pipestone - Pipestone Chain (49° 05' 00"" NN., 93° 33' 00"" WO.)",Muskellunge,Maskinongé,Refer to zone-wide seasons and limits,Reportez-vous à Saisons et limites de zone,Must be greater than 122 cm (48 in.),Doit dépasser 122 cm (48 po),Refer to zone-wide seasons and limits,Reportez-vous à Saisons et limites de zone,,,,,,,,,,,,,01/01/2022,12/31/2022
125208822,5,"Rainy Lake (48°42'N., 93°10'W.)",Lac à la Pluie (48° 42’ N. et 93° 10’ O.),Muskellunge,Maskinongé,Refer to zone-wide seasons and limits,Reportez-vous à Saisons et limites de zone,Must be greater than 122 cm (48 in.),Doit dépasser 122 cm (48 po),Refer to zone-wide seasons and limits,Reportez-vous à Saisons et limites de zone,,,,,,,,,,,,,01/01/2022,12/31/2022
125208790,5,"Footprint Lake (48°54'01""N., 93°36'30""W.)","Lac Footprint (48° 54' 01""N., 93° 36' 30""O.)",Muskellunge,Maskinongé,Refer to zone-wide seasons and limits,Reportez-vous à Saisons et limites de zone,Must be greater than 122 cm (48 in.),Doit dépasser 122 cm (48 po),Refer to zone-wide seasons and limits,Reportez-vous à Saisons et limites de zone,,,,,,,,,,,,,01/01/2022,12/31/2022
125209295,11,Lake Nipissing - including the waters of the French River from the Chaudière and the Little Chaudière dams to Lake Nipissing; the west bay of Lake Nipissing in Haddo Township; the northwest bay of Lake Nipissing to the falls of MacPherson Creek; the Sturg,Lac Nipissing- comprend les eaux de la rivière des Français depuis les barrages Chaudière et Little Chaudière jusqu’au lac Nipissing; la baie ouest du lac Nipissing dans le canton de Haddo; de la baie nord-ouest du lac Nipissing jusqu’aux chutes du ruisse,Muskellunge,Maskinongé,3rd Sat. in June - Nov. 30,3e samedi de juin au 30 nov.,Must be greater than 137 cm,Doit mesurer plus de 137 cm,S-1,S-1,,,,,,,,,,,,,01/01/2022,12/31/2022
125209295,11,Lake Nipissing - including the waters of the French River from the Chaudière and the Little Chaudière dams to Lake Nipissing; the west bay of Lake Nipissing in Haddo Township; the northwest bay of Lake Nipissing to the falls of MacPherson Creek; the Sturg,Lac Nipissing- comprend les eaux de la rivière des Français depuis les barrages Chaudière et Little Chaudière jusqu’au lac Nipissing; la baie ouest du lac Nipissing dans le canton de Haddo; de la baie nord-ouest du lac Nipissing jusqu’aux chutes du ruisse,Muskellunge,Maskinongé,3rd Sat. in June - Nov. 30,3e samedi de juin au 30 nov.,Must be greater than 137 cm,Doit mesurer plus de 137 cm,C-0,C-0,,,,,,,,,,,,,01/01/2022,12/31/2022
125208756,4,"Perrault Lake (50°17’N., 93°08’W.)",Lac Perrault (50° 17’ N. et 93° 08’ O.),Muskellunge,Maskinongé,Refer to zone-wide seasons and limits,Reportez-vous à Saisons et limites de zone,Must be greater than 137 cm (54 in.),Le maskinongé doit dépasser 137 cm (54 po),Refer to zone-wide seasons and limits,Reportez-vous à Saisons et limites de zone,,,,,,,,,,,,,01/01/2022,12/31/2022
125208811,5,"Olsen Lake (49°39'06""N., 92°37'47""W.)","Lac Olsen (49° 39' 06""N., 92° 37' 47""O.)",Muskellunge,Maskinongé,Refer to zone-wide seasons and limits,Reportez-vous à Saisons et limites de zone,Must be greater than 137 cm (54 in.),Le maskinongé doit dépasser 137 cm (54 po),Refer to zone-wide seasons and limits,Reportez-vous à Saisons et limites de zone,,,,,,,,,,,,,01/01/2022,12/31/2022
125208840,5,"Trap Lake (49°39'34""N., 92°47'19""W.)","Lac Trap (49° 39' 34""N., 92° 47' 19""O.)",Muskellunge,Maskinongé,Refer to zone-wide seasons and limits,Reportez-vous à Saisons et limites de zone,Must be greater than 137 cm (54 in.),Le maskinongé doit dépasser 137 cm (54 po),Refer to zone-wide seasons and limits,Reportez-vous à Saisons et limites de zone,,,,,,,,,,,,,01/01/2022,12/31/2022
125208844,5,"Wabigoon Lake (49°44'09""N., 92°43'52""W.)","Lac Wabigoon (49° 44' 09""N., 92° 43' 52""O.)",Muskellunge,Maskinongé,Refer to zone-wide seasons and limits,Reportez-vous à Saisons et limites de zone,Must be greater than 137 cm (54 in.),Le maskinongé doit dépasser 137 cm (54 po),Refer to zone-wide seasons and limits,Reportez-vous à Saisons et limites de zone,,,,,,,,,,,,,01/01/2022,12/31/2022
125208807,5,"Mile Lake (49°40'53""N., 92°46'43""W.)","Lac Mile (49° 40' 53""N., 92° 46' 43""O.)",Muskellunge,Maskinongé,Refer to zone-wide seasons and limits,Reportez-vous à Saisons et limites de zone,Must be greater than 137 cm (54 in.),Le maskinongé doit dépasser 137 cm (54 po),Refer to zone-wide seasons and limits,Reportez-vous à Saisons et limites de zone,,,,,,,,,,,,,01/01/2022,12/31/2022
125208780,5,"Butler Lake (49°40'24""N., 92°39'02""W.)","Lac Butler (49° 40' 24""N., 92° 39' 02""O.)",Muskellunge,Maskinongé,Refer to zone-wide seasons and limits,Reportez-vous à Saisons et limites de zone,Must be greater than 137 cm (54 in.),Le maskinongé doit dépasser 137 cm (54 po),Refer to zone-wide seasons and limits,Reportez-vous à Saisons et limites de zone,,,,,,,,,,,,,01/01/2022,12/31/2022
125208359,4,"Longlegged Lake (50°45'00""N., 94°05'00""W.)","Lac Longlegged (50° 45' 00""N., 94° 05' 00""O.)",Muskellunge,Maskinongé,Refer to zone-wide seasons and limits,Reportez-vous à Saisons et limites de zone,Must be greater than 137 cm (54 in.),Le maskinongé doit dépasser 137 cm (54 po),Refer to zone-wide seasons and limits,Reportez-vous à Saisons et limites de zone,,,,,,,,,,,,,01/01/2022,12/31/2022
125208813,5,"Paulson Lake (49°37'26""N., 92°36'54""W.)","Lac Paulson (49° 37' 26""N., 92° 36' 54""O.)",Muskellunge,Maskinongé,Refer to zone-wide seasons and limits,Reportez-vous à Saisons et limites de zone,Must be greater than 137 cm (54 in.),Le maskinongé doit dépasser 137 cm (54 po),Refer to zone-wide seasons and limits,Reportez-vous à Saisons et limites de zone,,,,,,,,,,,,,01/01/2022,12/31/2022
125208787,5,"Eagle Lake (49°42’N., 93°13’W.)",Lac Eagle (49° 42’ N. et 93° 13’ O.),Muskellunge,Maskinongé,Refer to zone-wide seasons and limits,Reportez-vous à Saisons et limites de zone,Must be greater than 137 cm (54 in.),Le maskinongé doit dépasser 137 cm (54 po),Refer to zone-wide seasons and limits,Reportez-vous à Saisons et limites de zone,,,,,,,No angling at night for any species.,Interdiction de faire la pêche la nuit - toutes espèces.,,,,,01/01/2022,12/31/2022
125208838,5,Shoal Lake above Ash Rapids - Kenora District.,"Lac Shoal, en amont des rapides Ash - district de Kenora",Muskellunge,Maskinongé,Refer to zone-wide seasons and limits,Reportez-vous à Saisons et limites de zone,Must be greater than 137 cm (54 in.),Le maskinongé doit dépasser 137 cm (54 po),Refer to zone-wide seasons and limits,Reportez-vous à Saisons et limites de zone,Live fish may not be used as bait or possessed for use as bait,La possession et l’utilisation de poissons vivants comme appâts sont interdites.,,,,,,,,,,,01/01/2022,12/31/2022
125208738,4,"Cedar Lake (50°12’N., 93°08’W.)",Lac Cedar (50° 12’ N. et 93° 08’ O.),Muskellunge,Maskinongé,Refer to zone-wide seasons and limits,Reportez-vous à Saisons et limites de zone,Must be greater than 137 cm (54 in.),Le maskinongé doit dépasser 137 cm (54 po),Refer to zone-wide seasons and limits,Reportez-vous à Saisons et limites de zone,,,,,,,,,,,,,01/01/2022,12/31/2022
125208801,5,"Larson Lake (49°38'23""N., 92°37'06""W.)","Lac Larson (49° 38' 23""N., 92° 37' 06""O.)",Muskellunge,Maskinongé,Refer to zone-wide seasons and limits,Reportez-vous à Saisons et limites de zone,Must be greater than 137 cm (54 in.),Le maskinongé doit dépasser 137 cm (54 po),Refer to zone-wide seasons and limits,Reportez-vous à Saisons et limites de zone,,,,,,,,,,,,,01/01/2022,12/31/2022
125208741,4,"Cliff Lake (50°10'08""N., 93°17'60""W.)","Lac Cliff (50° 10' 08""N., 93° 17' 60""O.)",Muskellunge,Maskinongé,Refer to zone-wide seasons and limits,Reportez-vous à Saisons et limites de zone,Must be greater than 137 cm (54 in.),Le maskinongé doit dépasser 137 cm (54 po),Refer to zone-wide seasons and limits,Reportez-vous à Saisons et limites de zone,,,,,,,,,,,,,01/01/2022,12/31/2022
125208827,5,Rainy River - from dam in Fort Frances downstream to Wheeler’s Point at Lake of the Woods.,"Rivière à la Pluie - depuis le barrage à Fort Frances en aval jusqu’à Wheeler’s Point, au lac des Bois.",Muskellunge,Maskinongé,Refer to zone-wide seasons and limits,Reportez-vous à Saisons et limites de zone,Must be greater than 137 cm (54 in.),Le maskinongé doit dépasser 137 cm (54 po),Refer to zone-wide seasons and limits,Reportez-vous à Saisons et limites de zone,,,,,,,,,,,,,01/01/2022,12/31/2022
125208793,5,"Kakagi Lake (Crow Lake) (49°12'60""N., 93°52'00""W.)","Lac Kakagi (Crow Lake) (49° 12' 60""N., 93° 52' 00""O.)",Muskellunge,Maskinongé,Refer to zone-wide seasons and limits,Reportez-vous à Saisons et limites de zone,Must be greater than 137 cm (54 in.),Le maskinongé doit dépasser 137 cm (54 po),Refer to zone-wide seasons and limits,Reportez-vous à Saisons et limites de zone,,,,,,,,,,,,,01/01/2022,12/31/2022
125208830,5,"Rowan Lake (49°19'00""N., 93°33'00""W.)","Lac Rowan (49° 19' 00""N., 93° 33' 00""O.)",Muskellunge,Maskinongé,Refer to zone-wide seasons and limits,Reportez-vous à Saisons et limites de zone,Must be greater than 137 cm (54 in.),Le maskinongé doit dépasser 137 cm (54 po),Refer to zone-wide seasons and limits,Reportez-vous à Saisons et limites de zone,,,,,,,,,,,,,01/01/2022,12/31/2022
125208784,5,"Dinorwic Lake (49°37’40”N., 92°33’25”W.) - including Minnehaha Lake (49°31’27”N.,92°38’45”W.), Rock Lake (49°32’37”N., 92°35’51”W.) and Turtlepond Lake (49°32'43""N., 92°36'46""W.)","Lac Dinorwic (49°37’40” N., 92°33’25” O.) - y compris le lac Minnehaha (49°31’27” N., 92°38’45” O.), le lac Rock (49°32’37” N., 92°35’51” O.) et le lac Turtlepond (49°32’43” N., 92°36’46” O.)",Muskellunge,Maskinongé,Refer to zone-wide seasons and limits,Reportez-vous à Saisons et limites de zone,Must be greater than 137 cm (54 in.),Le maskinongé doit dépasser 137 cm (54 po),Refer to zone-wide seasons and limits,Reportez-vous à Saisons et limites de zone,,,,,,,,,,,,,01/01/2022,12/31/2022
125208785,5,"Dryberry Lake (49°30'N., 93°50'W.) – including Northwest Bay, Point Bay and Point Lake",Lac Dryberry - baies Northwest et Point et lac Point - (49° 30’ N. et 93° 50’ O.),Muskellunge,Maskinongé,Refer to zone-wide seasons and limits,Reportez-vous à Saisons et limites de zone,Must be greater than 137 cm (54 in.),Le maskinongé doit dépasser 137 cm (54 po),Refer to zone-wide seasons and limits,Reportez-vous à Saisons et limites de zone,Fish or fish parts may not be used as bait from Jan. 1 - Fri. before 3rd Sat. in May,Il est interdit d’utiliser du poisson ou des morceaux de poisson comme appâts du 1er janv. au vendredi précédant le 3e samedi de mai.,Only barbless hooks may be used from Jan. 1 - Fri. before 3rd Sat. in May,Seuls les hameçons sans barbes sont permis du 1er janv. au vendredi précedant le 3e samedi de mai.,,,,,,,,,01/01/2022,12/31/2022
125209523,15,Wendigo Lake - Clara Twp.,Lac Wendigo - canton de Clara,Brook Trout,Omble de fontaine,Refer to zone-wide seasons and limits,Reportez-vous à Saisons et limites de zone,Must be greater than 28 cm (11 in.),Doit mesurer plus de 28 cm (11 po),Refer to zone-wide seasons and limits,Reportez-vous à Saisons et limites de zone,,,Only one line may be used when angling through the ice,Une seule ligne est permise pour la pêche à travers la glace,,,,,,,,,01/01/2022,12/31/2022
125208341,15,Hawk Lake - Wicklow Twp.,Lac Hawk - canton de Wicklow,Brook Trout,Omble de fontaine,4th Sat. in Apr. - Sept. 30,4e samedi en avril au 30 sept.,Must be greater than 28 cm (11 in.),Doit mesurer plus de 28 cm (11 po),Refer to zone-wide seasons and limits,Reportez-vous à Saisons et limites de zone,Live fish may not be used as bait or possessed for use as bait,La possession et l’utilisation de poissons vivants comme appâts sont interdites.,,,,,,,,,,,01/01/2022,12/31/2022
125208394,15,Little Meach Lake - McClure Twp.,Petit lac Meach - canton de McClure,Brook Trout,Omble de fontaine,4th Sat. in Apr. - Sept. 30,4e samedi en avril au 30 sept.,Must be greater than 28 cm (11 in.),Doit mesurer plus de 28 cm (11 po),Refer to zone-wide seasons and limits,Reportez-vous à Saisons et limites de zone,Live fish may not be used as bait or possessed for use as bait,La possession et l’utilisation de poissons vivants comme appâts sont interdites.,,,,,,,,,,,01/01/2022,12/31/2022
125208346,15,Hound Lake - Herschel Twp.,Lac Hound - canton de Herschel,Brook Trout,Omble de fontaine,4th Sat. in Apr. - Sept. 30,4e samedi en avril au 30 sept.,Must be greater than 28 cm (11 in.),Doit dépasser 28 cm (11 po),Refer to zone-wide seasons and limits,Reportez-vous à Saisons et limites de zone,Live fish may not be used as bait or possessed for use as bait.,Il est interdit de se servir ou d’avoir en sa possession du poisson vivant comme appât.,,,,,,,,,,,01/01/2022,12/31/2022
125209404,15,Blairs Lake - Wicklow Twp.,Lac Blairs - canton de Wicklow,Brook Trout,Omble de fontaine,4th Sat. in Apr. - Sept. 30,4e samedi d'avril et le 30 sept.,Must be greater than 28 cm (11 in.),Doit dépasser 28 cm (11 po),Refer to zone-wide seasons and limits,Reportez-vous à Saisons et limites de zone,Live fish may not be used as bait or possessed for use as bait,La possession et l’utilisation de poissons vivants comme appâts sont interdites.,,,,,,,,,,,01/01/2022,12/31/2022
125208334,15,Greenbark Lake - McClure Twp.,Lac Greenbark - canton de McClure,Brook Trout,Omble de fontaine,4th Sat. in Apr. - Sept. 30,4e samedi en avril au 30 sept.,Must be greater than 28 cm (11 in.),Doit dépasser 28 cm (11 po),Refer to zone-wide seasons and limits,Reportez-vous à Saisons et limites de zone,Live fish may not be used as bait or possessed for use as bait.,Il est interdit de se servir ou d’avoir en sa possession du poisson vivant comme appât.,,,,,,,,,,,01/01/2022,12/31/2022
125208428,15,Meach Lake - McClure Twp.,Lac Meach - canton de McClure,Brook Trout,Omble de fontaine,4th Sat. in Apr. - Sept. 30,4e samedi en avril au 30 sept.,Must be greater than 28 cm (11 in.),Doit mesurer plus de 28 cm (11 po),Refer to zone-wide seasons and limits,Reportez-vous à Saisons et limites de zone,Live fish may not be used as bait or possessed for use as bait,La possession et l’utilisation de poissons vivants comme appâts sont interdites.,,,,,,,,,,,01/01/2022,12/31/2022
125209474,15,Rocky Lake - Mayo Twp.,Lac Rocky - canton de Mayo,Brook Trout,Omble de fontaine,4th Sat. in Apr. - Sept. 30,4e samedi en avril au 30 sept.,Must be greater than 28 cm (11 in.),Doit mesurer plus de 28 cm (11 po),Refer to zone-wide seasons and limits,Reportez-vous à Saisons et limites de zone,Live fish may not be used as bait or possessed for use as bait,La possession et l’utilisation de poissons vivants comme appâts sont interdites.,,,,,,,,,,,01/01/2022,12/31/2022
125209430,15,Mitchell Lake - McClure Twp.,Lac  Mitchell- canton de McClure,Brook Trout,Omble de fontaine,4th Sat. in Apr. - Sept. 30,4e samedi en avril au 30 sept.,Must be greater than 28 cm (11 in.),Doit mesurer plus de 28 cm (11 po),Refer to zone-wide seasons and limits,Reportez-vous à Saisons et limites de zone,Live fish may not be used as bait or possessed for use as bait,La possession et l’utilisation de poissons vivants comme appâts sont interdites.,,,,,,,,,,,01/01/2022,12/31/2022
125208319,15,Evans Lake - Wicklow Twp.,Lac Evans - canton de Wicklow,Brook Trout,Omble de fontaine,4th Sat. in Apr. - Sept. 30,4e samedi en avril au 30 sept.,Must be greater than 28 cm (11 in.),Doit mesurer plus de 28 cm (11 po),Refer to zone-wide seasons and limits,Reportez-vous à Saisons et limites de zone,Live fish may not be used as bait or possessed for use as bait,La possession et l’utilisation de poissons vivants comme appâts sont interdites.,,,,,,,,,,,01/01/2022,12/31/2022
125209506,15,Sud Lake - McClure Twp.,Lac Sud - canton de McClure,Brook Trout,Omble de fontaine,4th Sat. in Apr. - Sept. 30,4e samedi en avril au 30 sept.,Must be greater than 28 cm (11 in.),Doit dépasser 28 cm (11 po),Refer to zone-wide seasons and limits,Reportez-vous à Saisons et limites de zone,Live fish may not be used as bait or possessed for use as bait.,Il est interdit de se servir ou d’avoir en sa possession du poisson vivant comme appât.,,,,,,,,,,,01/01/2022,12/31/2022
