Fish Sanctuary OGF ID,Zone Number,Waterbody Description,Waterbody Description French,Fish Sanctuary,Fish Sanctuary French,Effective Date,Expiry Date
107035524,4,Agimak River and Little Indian Lake downstream from Sandbar Lake to the mouth of the Agimak River where it enters Indian Lake - Gour Twp.,"Rivière Agimak et lac Little Indian, en aval depuis le lac Sandbar jusqu’à l’embouchure de la rivière Agimak, là où elle se jette dans le lac Indian - canton de Gour.",Fish sanctuary - no fishing from Apr. 1 - June 14,Réserve de poissons - aucune pêche entre le 1er avril et le 14 juin,01/01/2022,12/31/2022
107035525,4,"Barnard Creek (50°06’N., 91°51’W.) between Fourbay Lake and Eady Lake.",Ruisseau Barnard (50° 06’ N. et 91° 51’ O.) entre les lacs Fourbay et Eady.,Fish sanctuary - no fishing from Apr. 1 - June 14,Réserve de poissons - aucune pêche entre le 1er avril et le 14 juin,01/01/2022,12/31/2022
107035526,4,"Bruce Lake - from Bruce Creek at Hwy. 105 north to, and including, the south half of Bruce Lake.","Lac Bruce - depuis le ruisseau Bruce, à la route 105 nord, jusqu’à et y compris la moitié sud du lac Bruce.",Fish sanctuary - no fishing from Apr. 1 - June 14,Réserve de poissons - aucune pêche entre le 1er avril et le 14 juin,01/01/2022,12/31/2022
107035527,4,Camp Creek and part of Indian Lake - Gour Twp.,Ruisseau Camp et une partie du lac Indian - canton de Gour,Fish sanctuary - no fishing from Apr. 1 - June 14,Réserve de poissons - aucune pêche entre le 1er avril et le 14 juin,01/01/2022,12/31/2022
107035510,4,Cedar Lake - Louise Rapids and Nelson Lake,Lac Cedar - Rapides Louise et lac Nelson,Fish sanctuary - no fishing from Apr. 1 - June 14,Réserve de poissons - aucune pêche entre le 1er avril et le 14 juin.,01/01/2022,12/31/2022
107035528,4,Cloudlet Lake and connecting streams.,Lac Cloudlet et ses eaux de communication,Fish sanctuary - no fishing from Jan. 1 - Fri. before the 3rd Sat. in June & Dec. 1 - Dec. 31,"Réserve de poissons - aucune pêche entre le 1er janv. et le vendredi avant le 3e samedi de juin, ni entre le 1er et le 31 déc.",01/01/2022,12/31/2022
107035529,4,English River - from an unnamed island at Talking Falls to latitude 49°33’45”N. drawn across Franks Lake.,Rivière English - à partir d’une île sans nom aux chutes Talking jusqu’à la latitude 49° 33’ 45’’ N. traversant le lac Franks.,Fish sanctuary - no fishing from Apr. 1 - June 14,Réserve de poissons - aucune pêche entre le 1er avril et le 14 juin,01/01/2022,12/31/2022
107035528,4,"Hooch Lake and connecting waters - Echo, Lomond, Pickerel and Vermilion Twps.","Lac Hooch et ses eaux decommunication - cantons d’Echo, de Lomond, Pickerel et Vermilion",Fish sanctuary - no fishing from Jan. 1 - Fri. before the 3rd Sat. in June & Dec. 1 - Dec. 31,"Réserve de poissons - aucune pêche entre le 1er janv. et le vendredi avant le 3e samedi de juin, ni du 1er au 31 déc.",01/01/2022,12/31/2022
107035530,4,Jackfish Creek - from the outflow of Jackfish Lake to the inflow of Perrault Lake.,Ruisseau Jackfish - depuis le débit sortant du lac Jackfish jusqu’au débit entrant du lac Perrault.,Fish sanctuary - no fishing from Apr. 1 - June 14,Réserve de poissons - aucune pêche entre le 1er avril et le 14 juin.,01/01/2022,12/31/2022
107035528,4,"Maskinonge Lake and connecting waters - Echo, Lomond, Pickerel and Vermilion Twps.","Lac Maskinongé et ses eaux de communication - cantons d’Echo, de Lomond, Pickerel et Vermilion",Fish sanctuary - no fishing from Jan. 1 - Fri. before the 3rd Sat. in June & Dec. 1 - Dec. 31,"Réserve de poissons - aucune pêche entre le 1er janv. et le vendredi avant le 3e samedi de juin, ni du 1er au 31 déc.",01/01/2022,12/31/2022
107035531,4,Megikons River and Sowden Lake - that part downstream from confluence of Megikons River and Reba River to longitude 91°10’W. drawn through Sowden Lake.,Rivière Megikons et lac Sowden - la partie en aval depuis la confluence des rivières Megikons et Reba jusqu’au point de longitude 91° 10’ O. qui traverse le lac Sowden.,Fish sanctuary - no fishing from Apr. 1 - June 14,Réserve de poissons - aucune pêche entre le 1er avril et le 14 juin,01/01/2022,12/31/2022
107035532,4,"Minnitaki Lake, Grassy Bay and English River – between English Falls downstream to include all of Grassy Bay of Minnitaki Lake.","Lac Minnitaki, baie Grassy et rivière English - entre les chutes English en aval, incluant toute la baie Grassy du lac Minnitaki.",Fish sanctuary - no fishing from Apr. 1 - June 14,Réserve de poissons - aucune pêche entre le 1er avril et le 14 juin,01/01/2022,12/31/2022
107035533,4,"Minnitaki Lake, Twin Bay and the Rice River, including Twill Lake, Flower Lake, Twinflower Lake, Purity Lake, Parnes Lake and connecting streams, Twin-flower Creek, and Twin Bay of Minnitaki Lake (collectively known as the Rice River) and waters extending","Lac Minnitaki, baie Twin et rivière Rice, incluant les lacs Twill, Flower, Twinflower, Purity et Parnes et leurs eaux de communication, le ruisseau Twinflower et la baie Twin du lac Minnitaki (collectivement connus sous le nom de rivière Rice) et les eaux",Fish sanctuary - no fishing from Apr. 1 - June 14,Réserve de poissons - aucune pêche entre le 1er avril et le 14 juin,01/01/2022,12/31/2022
107035534,4,"Mud Lake (50°25'25""N., 93°14'07""W.) - all waters in the unsurveyed portion of the territorial District of Kenora starting from where its mouth enters Wabaskang Lake - Kenora District.","Lac Mud (50° 25’ 25” N. et 93° 14’ 07” O.) - toutes les eaux de la partie non arpentée du district territorial de Kenora, depuis son embouchure dans le lac Wabaskang - district de Kenora.",Fish sanctuary - no fishing from Apr. 1 - June 14,Réserve de poissons - aucune pêche entre le 1er avril et le 14 juin.,01/01/2022,12/31/2022
127964347,4,"Nelson Lake and Richmond Lake - the northern basin of Nelson Lake (50°13'36""N., 93°9'35""W.) and Richmond Lake (50°14'15.47""N., 93°09'20.38""W.), including the unnamed creek that connects Nelson Lake and Richmond Lake.","Lac Nelson et lac Richmond - le bassin nord du lac Nelson (50°13'36""N., 93°9'35""O.) et lac Richmond (50°14'15.47""N., 93°09'20.38""O.), et incluant le ruisseau sans nom qui relie le lac Nelson et le lac Richmond.",Fish sanctuary - no fishing from Apr. 1 - June 14,Réserve de poissons - aucune pêche entre le 1er avril et le 14 juin.,01/01/2022,12/31/2022
107035536,4,"Ord River - from 50°15’22”N., 93°01’40”W. upstream to the top of first set of rapids at 50°12’55”N., 93°01’08”W. - Kenora District.",Rivière Ord - depuis 50° 15’ 22” N. et 93° 01’ 40” O. en amont jusqu’au début du premier groupe de rapides à 50° 12’ 55” N. et 93° 01’ 08” O. - district de Kenora.,Fish sanctuary - no fishing from Apr. 1 - June 14,Réserve de poissons - aucune pêche entre le 1er avril et le 14 juin.,01/01/2022,12/31/2022
107035537,4,Pakwash Lake - Fisherman’s Bay.,Lac Pakwash - baie Fisherman’s,Fish sanctuary - no fishing from Apr. 1 - June 14,Réserve de poissons - aucune pêche entre le 1er avril et le 14 juin,01/01/2022,12/31/2022
107035538,4,"Perrault Falls and Wabaskang Lake - Town of Perrault Falls, between Hwy. 105 bridge and a point 500 m (1640 ft.) northeast of the bridge.","Chutes Perrault et lac Wabaskang - ville de Perrault Falls, entre le pont de la route 105 et un point situé à 500 m (1 640 pi) au nord-est du pont.",Fish sanctuary - no fishing from Apr. 1 - June 14,Réserve de poissons - aucune pêche entre le 1er avril et le 14 juin.,01/01/2022,12/31/2022
107035539,4,Puzzle Bay of Ord Lake south of the narrows at latitude 50°08’18”N.,"Baie Puzzle du lac Ord, au sud du défilé au point de latitude 50° 08’ 18” N.",Fish sanctuary - no fishing from Apr. 1 - June 14,Réserve de poissons - aucune pêche entre le 1er avril et le 14 juin.,01/01/2022,12/31/2022
127964285,4,"Ranger Lake, Ranger Creek and Gullrock Lake (North Bay) - the part of North Bay of Gullrock Lake north of Latitude 51°02'00""N.; Ranger Creek between Ranger Lake and GullRock Lake, and Ranger Lake (51°3'59""N., 93°34'21""W.)","Ranger Lake, Ranger Creek et Gullrock Lake (North Bay) - la partie de la baie nord du lac Gullrock au nord de 51°02'00"" de latitude nord; Ranger Creek entre Ranger Lake et GullRock Lake et Ranger Lake (51°3'59""N., 93°34'21""O.)",Fish sanctuary - no fishing from Apr. 1 - June 14,Réserve de poissons - aucune pêche entre le 1er avril et le 14 juin,01/01/2022,12/31/2022
107035540,4,"Red Lake and Chukuni River - McDonough and Bateman Townships, from Little Vermilion Lake south to Red Lake, including part of Hoyles Bay","Lac Red et rivière Chukuni - cantons de McDonough et Bateman, du lac Little Vermilion vers le sud jusqu’au lac Red, incluant une partie de la baie Hoyles",Fish sanctuary - no fishing from Apr. 1 - June 14,Réserve de poissons - aucune pêche entre le 1er avril et le 14 juin,01/01/2022,12/31/2022
107035404,4,"Red Lake and Golden Creek - Bateman Township, from the Pine Ridge Road, south to Red Lake, including part of East Bay","Lac Red et ruisseau Golden - canton de Bateman, du chemin Pine Ridge vers le sud jusqu’au lac Red, incluant une partie de la baie East",Fish sanctuary - no fishing from Apr. 1 - June 14,Réserve de poissons - aucune pêche entre le 1er avril et le 14 juin,01/01/2022,12/31/2022
107035405,4,"Red Lake and Parker Creek - Fairlie Township, from Parker Lake to Red Lake, including an unnamed bay","Lac Red et ruisseau Parker - canton de Fairlie, du lac Parker jusqu’au lac Red, incluant une baie sans nom",Fish sanctuary - no fishing from Apr. 1 - June 14,Réserve de poissons - aucune pêche entre le 1er avril et le 14 juin,01/01/2022,12/31/2022
127964397,4,Richmond Lake - Kenora District,Lac Richmond (bras nord) - district de Kenora,Fish sanctuary - no fishing from Apr. 1 - June 14,Réserve de poissons - aucune pêche entre le 1er avril et le 14 juin.,01/01/2022,12/31/2022
107035541,4,"Root River - between latitudes 50°42’30”N., and 50°52’30”N.",Rivière Root - entre les latitudes 50° 42’ 30” N. et 50° 52’ 30” N.,Fish sanctuary - no fishing from Jan. 1 - June 14 & Sept. 1 - Dec. 31,"Réserve de poissons - aucune pêche entre le 1er janv. et le 14 juin, ni entre le 1er et le 31 déc.",01/01/2022,12/31/2022
107035542,4,Root River (Adamhay) between latitudes 50°39’N. and 50°42’30”N.,Rivière Root (Adamhay) entre les latitudes 50° 39’ N. et 50° 42’ 30” N.,Fish sanctuary - no fishing from Jan. 1 - June 14 & Dec. 1 - Dec. 31,"Réserve de poissons - aucune pêche entre le 1er janv. et le 14 juin, ni entre le 1er et le 31 déc.",01/01/2022,12/31/2022
107035543,4,"Savant Lake (North Arm) - Savant Twp. (50°28'N., 90°25'W.)",Lac Savant (bras Nord) - canton de Savant (50° 28’ N. et 90° 25’ 0.),Fish sanctuary - no fishing from Apr. 1 - June 14,Réserve de poissons - aucune pêche entre le 1er avril et le 14 juin,01/01/2022,12/31/2022
107035544,4,Troutlake River - from the top of Whitefish Falls to a point 2 km (1.2 mi.) downstream where the river intersects Latitude 50°52’N.,"Rivière Troutlake - depuis le dessus des chutes Whitefish jusqu’à un point situé à 2 km (1,2 mi) en aval, où la rivière croise la latitude 50° 52’ N.",Fish sanctuary - no fishing from Apr. 1 - June 14,Réserve de poissons - aucune pêche entre le 1er avril et le 14 juin,01/01/2022,12/31/2022
107035545,4,"Vaughan Lake (Whitefish Lake) (50°13’N., 92°22’W.)",Lac Vaughan (lac Whitefish) (50° 13’ N. et 92° 22’ O.),Fish sanctuary - no fishing from Jan. 1 - June 14 & Dec. 1 - Dec. 31,"Réserve de poissons - aucune pêche entre le 1er janv. et le 14 juin, ni entre le 1er et le 31 déc.",01/01/2022,12/31/2022
107035546,4,Vermilion River and tributaries between Elbow Lake and Expanse Lake.,River Vermilion et ses tributaires entre les lacs Elbow et Expanse,Fish sanctuary - no fishing from Apr. 1 - June 14,Réserve de poissons - aucune pêche entre le 1er avril et le 14 juin,01/01/2022,12/31/2022
107035547,4,Wenasaga River - from the first rapids upstream from Lac Seul approx. 3 km (1.86 mi.) downstream to the last group of islands.,"Rivière Wenasaga - depuis les premiers rapides en amont du lac Seul, et approx. 3 km (1,86 mi) en aval jusqu’au dernier groupe d’îles",Fish sanctuary - no fishing from Apr. 1 - June 14,Réserve de poissons - aucune pêche entre le 1er avril et le 14 juin,01/01/2022,12/31/2022
107035548,5,"Crook Lake (49°04’N., 92°08’W.)",Lac Crook (49° 04’ N. et 92° 08’ O.),Fish sanctuary - no fishing from Feb. 1 - June 30 & Aug. 1 - Dec. 31,"Réserve de poissons - aucune pêche entre le 1er févr. et le 30 juin, ni du 1er août au 31 déc.",01/01/2022,12/31/2022
107035549,5,"Crowrock Lake upstream from the narrows at 49°00'00""N., 91°43'50""W.","Lac Crowrock, en amont depuis le passage à 49º 00’ 00” N. et 91º 43’ 50” O.",Fish sanctuary - no fishing from Apr. 1 - June 14,Réserve de poissons - aucune pêche entre le 1er avril et le 14 juin,01/01/2022,12/31/2022
107035550,5,"Eagle Lake - portions of Eagle Lake and associated waters including Whiteclay Narrows, Brule Narrows, Niven Bay, Bunyon Lake, Godson Creek, Kekekwa Creek, Wawapus Creek, Bear Narrows, Froghead Bay, Rice Bay, Violet Lake, One Mile Rapids, Two Mile Rapids, ","Lac Eagle - parties du lac Eagle et ses tributaires, dont les passages Whiteclay et Brûlé, la baie Niven, le lac Bunyon, les ruisseaux Godson, Kekekwa et Wawapus,le passage Bear, les baies Froghead et Rice, le lac Violet, les rapides One Mile et Two Mile,",Fish sanctuary - no fishing from Apr. 1 - May 31,Réserve de poissons - aucune pêche entre le 1er avril et le 31 mai.,01/01/2022,12/31/2022
107035511,5,"Eagle Lake - portions of Eagle Lake and associated waters including Whiteclay Narrows, Brule Narrows, Niven Bay, Bunyon Lake, Godson Creek, Kekekwa Creek, Wawapus Creek, Bear Narrows, Froghead Bay, Rice Bay, Violet Lake, One Mile Rapids, Two Mile Rapids, ","Lac Eagle - parties du lac Eagle et ses tributaires, dont les passages Whiteclay et Brûlé, la baie Niven, le lac Bunyon, les ruisseaux Godson, Kekekwa et Wawapus,le passage Bear, les baies Froghead et Rice, le lac Violet, les rapides One Mile et Two Mile,",Fish sanctuary - no fishing from Apr. 1 - May 31,Réserve de poissons - aucune pêche entre le 1er avril et le 31 mai.,01/01/2022,12/31/2022
107035512,5,"Eagle Lake - portions of Eagle Lake and associated waters including Whiteclay Narrows, Brule Narrows, Niven Bay, Bunyon Lake, Godson Creek, Kekekwa Creek, Wawapus Creek, Bear Narrows, Froghead Bay, Rice Bay, Violet Lake, One Mile Rapids, Two Mile Rapids, ","Lac Eagle - parties du lac Eagle et ses tributaires, dont les passages Whiteclay et Brûlé, la baie Niven, le lac Bunyon, les ruisseaux Godson, Kekekwa et Wawapus,le passage Bear, les baies Froghead et Rice, le lac Violet, les rapides One Mile et Two Mile,",Fish sanctuary - no fishing from Apr. 1 - May 31,Réserve de poissons - aucune pêche entre le 1er avril et le 31 mai.,01/01/2022,12/31/2022
107035551,5,"Grimshaw Lake (48°58’N., 93°04’W.)",Lac Grimshaw (48° 58’ N. et93° 04’ O.),Fish sanctuary - closed all year,Réserve de poissons - pêche fermée toute l’année,01/01/2022,12/31/2022
107035554,5,"Ladysmith Creek and Unnamed Creek - Ladysmith Twp., between Rugby Lake and the confluence of Ladysmith Creek and the unnamed creek flowing out of Tent Lake.","Ruisseaux Ladysmith et sans nom - canton de Ladysmith, entre le lac Rugby et la confluence du ruisseau Ladysmith et le ruisseau sans nom qui s’écoule à partir du lac Tent",Fish sanctuary - no fishing from Apr. 1 - June 14,Réserve de poissons - aucune pêche entre le 1er avril et le 14 juin.,01/01/2022,12/31/2022
107035555,5,"Ladysmith Creek and Unnamed Creek - Ladysmith Twp., between Rugby Lake and the confluence of Ladysmith Creek and the unnamed creek flowing out of Tent Lake.","Ruisseaux Ladysmith et sans nom - canton de Ladysmith, entre le lac Rugby et la confluence du ruisseau Ladysmith et le ruisseau sans nom qui s’écoule à partir du lac Tent",Fish sanctuary - no fishing from Apr. 1 - June 14,Réserve de poissons - aucune pêche entre le 1er avril et le 14 juin.,01/01/2022,12/31/2022
107035556,5,"Lake of the Woods - Sabaskong Bay (49°09'N., 94°09""W.) - Godson Twp. - Kenora District.",Lac des Bois - baie Sabaskong (49° 09’ N. et 94° 09” O.) - canton de Godson - district de Kenora.,Fish sanctuary - no fishing from Apr. 1 - June 14,Réserve de poissons - aucune pêche entre le 1er avril et le 14 juin.,01/01/2022,12/31/2022
107035557,5,"Lilac Lake (48°17’N., 92°22’W.) - between Little Vermilion Lake and Lac la Croix.",Lac Lilac (48° 17’ N. et 92° 22’ O.) - entre le petit lac Vermilion et le lac la Croix.,Fish sanctuary - no fishing from Jan. 1 - May 31 & Oct. 1 - Dec. 31,"Réserve de poissons - aucune pêche entre le 1er janv. et le 31 mai, ni du 1er oct. au 31 déc.",01/01/2022,12/31/2022
107035558,5,"Little Grey Trout Lake (49°03’N., 92°03’W.)",Petit lac Grey Trout (49° 03’ N. et 92° 03’ O.),Fish sanctuary - no fishing from Feb. 1 - June 30 & Aug. 1 - Dec. 31,"Réserve de poissons - aucune pêche entre le 1er févr. et le 30 juin, ni du 1er août au 31 déc.",01/01/2022,12/31/2022
107035559,5,Moose Creek - between Big Moose Lake and Cobble Lake including part of Cobble Lake.,"Ruisseau Moose - entre les lacs Big Moose et Cobble, y compris une partie du lac Cobble.",Fish sanctuary - no fishing from Apr. 1 - June 14,Réserve de poissons - aucune pêche entre le 1er avril et le 14 juin.,01/01/2022,12/31/2022
107035560,5,"Nugget Creek - Zealand Twp., between Hughes Creek and C.P.R. crossing at Wabigoon Lake.","Ruisseau Nugget - canton de Zealand, entre le ruisseau Hughes et le passage à niveau du CFCP situé au lac Wabigoon.",Fish sanctuary – no fishing from Apr. 1 – June 14,Réserve de poissons - aucune pêche entre le 1er avril et le 14 juin.,01/01/2022,12/31/2022
107035561,5,"Passover Creek - between the southern end of Meridian Bay of Eagle Lake (49°42’N., 93°13’W.) and Chancellor Lake.",Ruisseau Passover - entre l’extrémité sud de la baie Meridian du lac Eagle (49° 42’ N. et 93° 13’ O.) et le lac Chancellor.,Fish sanctuary - no fishing from Apr. 1 - May 31,Réserve de poissons - aucune pêche entre le 1er avril et le 31 mai.,01/01/2022,12/31/2022
107035563,5,Rainy Lake - Crooked Narrows to Sand Island Falls of Redgut Bay.,Lac à la Pluie - passage Crooked jusqu’aux chutes de l’île Sand de la baie Redgut.,Fish sanctuary - no fishing from Apr. 1 - June 14,Réserve de poissons - aucune pêche entre le 1er avril et le 14 juin,01/01/2022,12/31/2022
107035565,5,Rainy Lake - Falls River and Pipestone River from Stokes Bay of Rainy Lake upstream to first rapids.,"Lac à la Pluie - rivières Falls et Pipestone, depuis la baie Stokes du lac à la Pluie, en amont jusqu’aux premiers rapides.",Fish sanctuary - no fishing from Apr. 1 - June 14,Réserve de poissons - aucune pêche entre le 1er avril et le 14 juin,01/01/2022,12/31/2022
107035564,5,Rainy Lake - Falls River and Pipestone River from Stokes Bay of Rainy Lake upstream to first rapids.,"Lac à la Pluie - rivières Falls et Pipestone, depuis la baie Stokes du lac à la Pluie, en amont jusqu’aux premiers rapides.",Fish sanctuary - no fishing from Apr. 1 - June 14,Réserve de poissons - aucune pêche entre le 1er avril et le 14 juin,01/01/2022,12/31/2022
107035566,5,Rainy Lake - Halfway Inlet and Lost Bay.,Lac à la Pluie - bras Halfway et baie Lost,Fish sanctuary - no fishing from Apr. 1 - June 14,Réserve de poissons - aucune pêche entre le 1er avril et le 14 juin,01/01/2022,12/31/2022
107035567,5,"Rainy Lake - Little Canoe River (48°54'N., 93°18'W.)",Lac à la Pluie - petite rivière Canoe (48° 54’ N. et 93° 18’ O.),Fish sanctuary - no fishing from Apr. 1 - June 14,Réserve de poissons - aucune pêche entre le 1er avril et le 14 juin,01/01/2022,12/31/2022
107035568,5,Rainy Lake - Porter Inlet of Redgut Bay.,Lac à la Pluie - bras Porter de la baie Redgut,Fish sanctuary - no fishing from Apr. 1 - June 14,Réserve de poissons - aucune pêche entre le 1er avril et le 14 juin,01/01/2022,12/31/2022
107035569,5,"Rainy Lake - Rat River Bay from the narrows and small island at the entrance to Rat River Bay, upstream to, and including the first rapids of both the West Branch Rat River and the East Branch Rat River.","Lac à la Pluie - baie Rat River, depuis le passage et la petite île à l’entrée de la baie Rat River, en amont jusqu’aux (et incluant) les premiers rapides du bras Ouest et du bras Est de la rivière Rat.",Fish sanctuary - no fishing from Apr. 1 - June 14,Réserve de poissons - aucune pêche entre le 1er avril et le 14 juin,01/01/2022,12/31/2022
107035570,5,"Rainy Lake - Squirrel Falls between Namakan Lake and Rainy Lake, downstream for 250 m (820 ft.) on the north shore and 200 m (656 ft.) on the south shore from the Canadian Kettle Falls Dam.","Lac à la Pluie - chutes Squirrel entre les lacs à la Pluie  et Namakan, en aval sur 250 m (820 pi) sur la rive nord et 200 m (656 pi) sur la rive sud depuis le barrage des chutes Canadian Kettle.",Fish sanctuary - closed all year,Réserve de poissons - pêche fermée toute l’année,01/01/2022,12/31/2022
107035601,5,Rainy Lake - Stanjikoming Bay.,Lac à la Pluie - baie Stanjikoming,Fish sanctuary - no fishing from Apr. 1 - June 14,Réserve de poissons - aucune pêche entre le 1er avril et le 14 juin,01/01/2022,12/31/2022
107035562,5,"Rainy Lake (48°43'20""N., 93°15'41""W.)","Lac Rainy (48° 43' 20""N., 93° 15' 41""O.)",Fish sanctuary - no fishing from Apr. 1 - June 14,Réserve de poissons - aucune pêche entre le 1er avril et le 14 juin,01/01/2022,12/31/2022
107035571,5,"Rugby Lake (49°57’28”N., 92°57’48”W.) - the northern arm that falls within Ladysmith and Rowell Townships","Lac Rugby (49°57’28” N., 92°57’48” O.) - le bras nord qui se trouve à l’intérieur des cantons Ladysmith et Rowell",Fish sanctuary - no fishing from Apr. 1 - June 14,Réserve de poissons - aucune pêche entre le 1er avril et le 14 juin.,01/01/2022,12/31/2022
107035572,5,"Rutter Lake (49°04’N., 92°12’W.)",Lac Rutter (49° 04’ N. et 92° 12’ O.),Fish sanctuary - no fishing from Feb. 1 - June 30 & Aug. 1 - Dec. 31,"Réserve de poissons - aucune pêche entre le 1er févr. et le 30 juin, ni du 1er août au 31 déc.",01/01/2022,12/31/2022
107035573,5,"Scattergood Lake (49°17’N., 92°42’W.)",Lac Scattergood (49° 17’ N. et 92° 42’ O.),Fish sanctuary - no fishing from Jan. 1 - July 31 & Sept. 1 - Dec. 31,"Réserve de poissons - aucune pêche entre le 1er janv. et le 31 juillet, ni du 1er sept. au 31 déc.",01/01/2022,12/31/2022
107035574,5,"Secret Lake (49°04’N., 92°08’W.)",Lac Secret (49° 04’ N. et 92° 08’ O.),Fish sanctuary - no fishing from Feb. 1 - June 30 & Aug. 1 - Dec. 31,"Réserve de poissons - aucune pêche entre le 1er févr. et le 30 juin, ni du 1er août au 31 déc.",01/01/2022,12/31/2022
107035575,5,"Trout Lake (48°17’N., 92°20’W.) - between Little Vermilion Lake and Lac la Croix.",Lac Trout (48° 17’ N. et 92° 20’ O.) - entre le petit lac Vermilion et le lac la Croix.,Fish sanctuary - no fishing from Jan. 1 - May 31 & Oct. 1 - Dec. 31,"Réserve de poissons - aucune pêche entre le 1er janv. et le 31 mai, ni du 1er oct. au 31 déc.",01/01/2022,12/31/2022
