Species,Species French,Season,Season French,Non Angling Method Gear,Non Angling Method Gear French,Zone Number,Zone Note,Zone Note French,Non Angling Method Limit,Non Angling Method Limit French,Effective Date,Expiry Date
Lake Whitefish,Grand corégone,Oct. 1 - Dec. 15,Du 1er oct. au 15 déc.,Dip net (day or night),Carrelet (jour et nuit),3,,,Same as angling limit in Zone,Même que la limite de pêche pour la zone,01/01/2022,12/31/2022
Lake Whitefish,Grand corégone,Oct. 1 - Dec. 15,Du 1er oct. au 15 déc.,Dip net (day or night),Carrelet (jour et nuit),4,,,Same as angling limit in Zone,Même que la limite de pêche pour la zone,01/01/2022,12/31/2022
Lake Whitefish,Grand corégone,Oct. 1 - Dec. 15,Du 1er oct. au 15 déc.,Dip net (day or night),Carrelet (jour et nuit),5,,,Same as angling limit in Zone,Même que la limite de pêche pour la zone,01/01/2022,12/31/2022
Lake Whitefish,Grand corégone,Oct. 1 - Dec. 15,Du 1er oct. au 15 déc.,Dip net (day or night),Carrelet (jour et nuit),6,,,Same as angling limit in Zone,Même que la limite de pêche pour la zone,01/01/2022,12/31/2022
Lake Whitefish,Grand corégone,Oct. 1 - Dec. 15,Du 1er oct. au 15 déc.,Dip net (day or night),Carrelet (jour et nuit),7,,,Same as angling limit in Zone,Même que la limite de pêche pour la zone,01/01/2022,12/31/2022
Lake Whitefish,Grand corégone,Oct. 1 - Dec. 15,Du 1er oct. au 15 déc.,Dip net (day or night),Carrelet (jour et nuit),8,,,Same as angling limit in Zone,Même que la limite de pêche pour la zone,01/01/2022,12/31/2022
Lake Whitefish,Grand corégone,Oct. 1 - Dec. 15,Du 1er oct. au 15 déc.,Dip net (day or night),Carrelet (jour et nuit),9,,,Same as angling limit in Zone,Même que la limite de pêche pour la zone,01/01/2022,12/31/2022
Lake Whitefish,Grand corégone,Oct. 1 - Dec. 15,Du 1er oct. au 15 déc.,Dip net (day or night),Carrelet (jour et nuit),10,,,Same as angling limit in Zone,Même que la limite de pêche pour la zone,01/01/2022,12/31/2022
Lake Whitefish,Grand corégone,Oct. 1 - Dec. 15,Du 1er oct. au 15 déc.,Dip net (day or night),Carrelet (jour et nuit),11,In designated waters only in Zones 11 and 15; contact local district office for details,Dans les eaux désignées seulement; communiquer avec le bureau du MRNF local ou visiter ontario.ca/peche,Same as angling limit in Zone,Même que la limite de pêche pour la zone,01/01/2022,12/31/2022
Lake Whitefish,Grand corégone,Oct. 1 - Dec. 15,Du 1er oct. au 15 déc.,Dip net (day or night),Carrelet (jour et nuit),15,In designated waters only in Zones 11 and 15; contact local district office for details,Dans les eaux désignées seulement; communiquer avec le bureau du MRNF local ou visiter ontario.ca/peche,Same as angling limit in Zone,Même que la limite de pêche pour la zone,01/01/2022,12/31/2022
Smelt,Éperlan,Mar. 1 - May 31,Du 1er mars au 31 mai,Dip net and seine (day or night),Carrelet et senne (jour et nuit),6,,,No limit,Aucune limite,01/01/2022,12/31/2022
Smelt,Éperlan,Mar. 1 - May 31,Du 1er mars au 31 mai,Dip net and seine (day or night),Carrelet et senne (jour et nuit),7,,,No limit,Aucune limite,01/01/2022,12/31/2022
Smelt,Éperlan,Mar. 1 - May 31,Du 1er mars au 31 mai,Dip net and seine (day or night),Carrelet et senne (jour et nuit),8,,,No limit,Aucune limite,01/01/2022,12/31/2022
Smelt,Éperlan,Mar. 1 - May 31,Du 1er mars au 31 mai,Dip net and seine (day or night),Carrelet et senne (jour et nuit),9,,,No limit,Aucune limite,01/01/2022,12/31/2022
Smelt,Éperlan,Mar. 1 - May 31,Du 1er mars au 31 mai,Dip net and seine (day or night),Carrelet et senne (jour et nuit),10,,,No limit,Aucune limite,01/01/2022,12/31/2022
Smelt,Éperlan,Mar. 1 - May 31,Du 1er mars au 31 mai,Dip net and seine (day or night),Carrelet et senne (jour et nuit),11,,,No limit,Aucune limite,01/01/2022,12/31/2022
Smelt,Éperlan,Mar. 1 - May 31,Du 1er mars au 31 mai,Dip net and seine (day or night),Carrelet et senne (jour et nuit),12,,,No limit,Aucune limite,01/01/2022,12/31/2022
Smelt,Éperlan,Mar. 1 - May 31,Du 1er mars au 31 mai,Dip net and seine (day or night),Carrelet et senne (jour et nuit),13,,,No limit,Aucune limite,01/01/2022,12/31/2022
Smelt,Éperlan,Mar. 1 - May 31,Du 1er mars au 31 mai,Dip net and seine (day or night),Carrelet et senne (jour et nuit),14,,,No limit,Aucune limite,01/01/2022,12/31/2022
Smelt,Éperlan,Mar. 1 - May 31,Du 1er mars au 31 mai,Dip net and seine (day or night),Carrelet et senne (jour et nuit),15,except Algonquin Park,sauf le parc Algonquin,No limit,Aucune limite,01/01/2022,12/31/2022
Smelt,Éperlan,Mar. 1 - May 31,Du 1er mars au 31 mai,Dip net and seine (day or night),Carrelet et senne (jour et nuit),16,,,No limit,Aucune limite,01/01/2022,12/31/2022
Smelt,Éperlan,2nd Sat. in May - May 31,Du 2e samedi de mai au 31 mai,Dip net and seine (day or night),Carrelet et senne (jour et nuit),17,,,No limit,Aucune limite,01/01/2022,12/31/2022
Smelt,Éperlan,Mar. 1 - May 31,Du 1er mars au 31 mai,Dip net and seine (day or night),Carrelet et senne (jour et nuit),18,,,No limit,Aucune limite,01/01/2022,12/31/2022
Smelt,Éperlan,Mar. 1 - May 31,Du 1er mars au 31 mai,Dip net and seine (day or night),Carrelet et senne (jour et nuit),19,,,No limit,Aucune limite,01/01/2022,12/31/2022
Smelt,Éperlan,Mar. 1 - May 31,Du 1er mars au 31 mai,Dip net and seine (day or night),Carrelet et senne (jour et nuit),20,,,No limit,Aucune limite,01/01/2022,12/31/2022
White Sucker,Meunier noir,Mar. 1 - May 31,Du 1er mars au 31 mai,"Bow and arrow, spear and dip net (during daylight hours only)","Arc, harpon et carrelet (durant le jour seulement)",1,,,No limit,Aucune limite,01/01/2022,12/31/2022
White Sucker,Meunier noir,Mar. 1 - May 31,Du 1er mars au 31 mai,"Bow and arrow, spear and dip net (during daylight hours only)","Arc, harpon et carrelet (durant le jour seulement)",2,,,No limit,Aucune limite,01/01/2022,12/31/2022
White Sucker,Meunier noir,Mar. 1 - May 31,Du 1er mars au 31 mai,"Bow and arrow, spear and dip net (during daylight hours only)","Arc, harpon et carrelet (durant le jour seulement)",3,,,No limit,Aucune limite,01/01/2022,12/31/2022
White Sucker,Meunier noir,Mar. 1 - May 31,Du 1er mars au 31 mai,"Bow and arrow, spear and dip net (during daylight hours only)","Arc, harpon et carrelet (durant le jour seulement)",4,,,No limit,Aucune limite,01/01/2022,12/31/2022
White Sucker,Meunier noir,Mar. 1 - May 31,Du 1er mars au 31 mai,"Bow and arrow, spear and dip net (during daylight hours only)","Arc, harpon et carrelet (durant le jour seulement)",5,,,No limit,Aucune limite,01/01/2022,12/31/2022
White Sucker,Meunier noir,Mar. 1 - May 31,Du 1er mars au 31 mai,"Bow and arrow, spear and dip net (during daylight hours only)","Arc, harpon et carrelet (durant le jour seulement)",6,,,No limit,Aucune limite,01/01/2022,12/31/2022
White Sucker,Meunier noir,Mar. 1 - May 31,Du 1er mars au 31 mai,"Bow and arrow, spear and dip net (during daylight hours only)","Arc, harpon et carrelet (durant le jour seulement)",7,,,No limit,Aucune limite,01/01/2022,12/31/2022
White Sucker,Meunier noir,Mar. 1 - May 31,Du 1er mars au 31 mai,"Bow and arrow, spear and dip net (during daylight hours only)","Arc, harpon et carrelet (durant le jour seulement)",8,,,No limit,Aucune limite,01/01/2022,12/31/2022
White Sucker,Meunier noir,Mar. 1 - May 31,Du 1er mars au 31 mai,"Bow and arrow, spear and dip net (during daylight hours only)","Arc, harpon et carrelet (durant le jour seulement)",9,,,No limit,Aucune limite,01/01/2022,12/31/2022
White Sucker,Meunier noir,Mar. 1 - May 31,Du 1er mars au 31 mai,"Bow and arrow, spear and dip net (during daylight hours only)","Arc, harpon et carrelet (durant le jour seulement)",10,,,No limit,Aucune limite,01/01/2022,12/31/2022
White Sucker,Meunier noir,Mar. 1 - May 31,Du 1er mars au 31 mai,"Bow and arrow, spear and dip net (during daylight hours only)","Arc, harpon et carrelet (durant le jour seulement)",11,,,No limit,Aucune limite,01/01/2022,12/31/2022
White Sucker,Meunier noir,Mar. 1 - May 31,Du 1er mars au 31 mai,"Bow and arrow, spear and dip net (during daylight hours only)","Arc, harpon et carrelet (durant le jour seulement)",12,,,No limit,Aucune limite,01/01/2022,12/31/2022
White Sucker,Meunier noir,Mar. 1 - May 31,Du 1er mars au 31 mai,"Bow and arrow, spear and dip net (during daylight hours only)","Arc, harpon et carrelet (durant le jour seulement)",13,,,No limit,Aucune limite,01/01/2022,12/31/2022
White Sucker,Meunier noir,Mar. 1 - May 31,Du 1er mars au 31 mai,"Bow and arrow, spear and dip net (during daylight hours only)","Arc, harpon et carrelet (durant le jour seulement)",14,,,No limit,Aucune limite,01/01/2022,12/31/2022
White Sucker,Meunier noir,Mar. 1 - May 31,Du 1er mars au 31 mai,"Bow and arrow, spear and dip net (during daylight hours only)","Arc, harpon et carrelet (durant le jour seulement)",15,except Algonquin Park,sauf le parc Algonquin,No limit,Aucune limite,01/01/2022,12/31/2022
White Sucker,Meunier noir,Mar. 1 - May 31,Du 1er mars au 31 mai,"Bow and arrow, spear and dip net (during daylight hours only)","Arc, harpon et carrelet (durant le jour seulement)",16,,,No limit,Aucune limite,01/01/2022,12/31/2022
White Sucker,Meunier noir,2nd Sat. in May - May 31,Du 2e samedi de mai au 31 mai,"Bow and arrow, spear and dip net (during daylight hours only)","Arc, harpon et carrelet (durant le jour seulement)",17,,,No limit,Aucune limite,01/01/2022,12/31/2022
White Sucker,Meunier noir,Mar. 1 - May 31,Du 1er mars au 31 mai,"Bow and arrow, spear and dip net (during daylight hours only)","Arc, harpon et carrelet (durant le jour seulement)",18,,,No limit,Aucune limite,01/01/2022,12/31/2022
White Sucker,Meunier noir,Mar. 1 - May 31,Du 1er mars au 31 mai,"Bow and arrow, spear and dip net (during daylight hours only)","Arc, harpon et carrelet (durant le jour seulement)",19,,,No limit,Aucune limite,01/01/2022,12/31/2022
White Sucker,Meunier noir,Mar. 1 - May 31,Du 1er mars au 31 mai,"Bow and arrow, spear and dip net (during daylight hours only)","Arc, harpon et carrelet (durant le jour seulement)",20,,,No limit,Aucune limite,01/01/2022,12/31/2022
